id,name,activity_type,distance,elevation_gain,elevation_low,elevation_high,best_time,average_top_10_time,tenth_best_time,total_effort_count,total_athlete_count
15438760,Pichette- Dos D'ane,Ride,8238.6,623.6,422.4,1046.0,1628,1730.8,1822.0,3023.0,1044.0
1605623,Impasse Du Rouler Climb,Ride,3136.11,215.117,28.5,227.4,463,497.5,526.0,5886.0,928.0
23930983,DH P21,Ride,440.1,0.0,600.8,684.0,51,57.8,62.0,975.0,87.0
18095812,Salazie Mare à vielle place,Ride,9073.9,439.4,487.2,914.2,1488,1537.8,1576.0,1970.0,738.0
6380168,Chemin de Montauban Climb,Ride,1293.6,95.6,227.8,322.6,189,301.2,333.0,811.0,123.0
23287499,DH piton fougère,Ride,7638.1,0.0,335.4,1133.8,695,725.0,752.0,715.0,319.0
6473003,DH Grand Figuier,Ride,4604.1,0.0,518.5,1587.6,446,804.89,,59.0,30.0
19844268,UH route du Piton fin,Ride,1419.7,183.3,554.6,716.1,283,367.2,406.0,2626.0,456.0
4591708,D 43 Climb,Ride,778.4,132.9,643.1,750.4,123,134.4,140.0,7488.0,1260.0
7101288,Montée 1 classique des cannes 2014,Ride,3982.1,134.8,49.2,184.0,460,527.2,553.0,2420.0,268.0
19490984,Sprint a la vitesse du son,Ride,819.3,0.0,273.2,321.6,30,37.8,42.0,6631.0,1671.0
4426309,Bagatelle/Radier Haut Riviere Ste Suzanne,Ride,8077.2,575.9,269.4,784.8,1531,1693.9,1783.0,1792.0,557.0
4426387,Bellevue,Ride,2443.4,143.9,27.2,165.8,358,366.78,,2637.0,629.0
19424805,Intervalle 1,Ride,1569.0,28.0,3.0,29.0,110,121.6,129.0,26156.0,2622.0
19424842,Dernier intervalle,Ride,3604.0,31.0,7.0,41.0,248,255.6,259.0,13361.0,2217.0
15988438,Aller circuit XC,Ride,1507.6,8.2,20.2,24.0,193,204.3,215.0,2349.0,319.0
23026489,Ligne droite GP BRAS-PANON 2020,Ride,776.5,0.0,41.6,48.4,53,54.2,55.0,9784.0,381.0
21511293,Descente Gp Saint-Benoix,Ride,2302.6,7.8,53.8,105.6,167,167.7,168.0,3631.0,582.0
26707367,Montée chemin Harmonie ,Ride,1938.7,79.0,47.6,124.1,333,405.22,,193.0,66.0
22597540,Berges marsouins vers rivière des roches ,Ride,4207.5,36.7,4.4,28.9,550,590.9,626.0,792.0,169.0
27669487,DH lotissement du golf,Ride,326.5,0.0,320.8,367.8,48,59.5,67.0,423.0,51.0
6579044,DH Marron,Ride,995.0,0.0,508.8,648.0,125,132.1,139.0,578.0,105.0
17189653,Station Engen / LaCroix,Ride,6260.1,220.0,444.2,634.6,706,730.8,754.0,10910.0,1823.0
25141425,LA CROIX - PLATEAU,Ride,753.6,2.6,602.9,608.5,54,57.3,60.0,20409.0,2701.0
1454004,Chemin Des Anglais Climb,Ride,554.114,124.723,19.6,137.1,28,29.7,32.0,37009.0,4430.0
6421494,UH1 Saint François,Ride,5002.3,336.8,49.6,386.4,823,893.8,927.0,8056.0,1249.0
10558568,Prologue tour de Réunion,Ride,343.7,0.0,11.4,11.4,15,15.5,16.0,700433.0,867.0
24121450,Montė devant la gare ,Ride,300.3,5.4,11.8,17.2,4,18.7,22.0,26843.0,4859.0
17987802,Domenjod stade=> stop,Ride,852.9,55.8,140.8,196.6,123,133.9,146.0,1515.0,385.0
17357310,Vers pizza,Ride,724.8,19.1,67.6,80.7,43,51.1,56.0,32471.0,2379.0
25984968,Mairie bellepierre - First radio - RBE,Ride,4793.8,302.6,198.0,500.6,877,958.5,995.0,3512.0,746.0
17139052,Phare Ste Suzanne to Convenance par sentier littoral,Ride,2761.3,0.0,38.4,58.2,253,279.3,296.0,14874.0,2362.0
25739498,Sprint Tcsd ok,Ride,336.0,15.0,126.0,141.0,26,34.6,37.0,15386.0,1534.0
23990240,aller niagara,Ride,903.7,4.0,-10.0,-6.0,78,87.6,93.0,4961.0,1691.0
27362611,RD51_Ligne_Droite_Ravine_des_Chèvres,Ride,614.4,29.8,128.4,158.2,71,74.0,76.0,15019.0,1535.0
19068705,Bout droit St Suz->Ste Marie SLN,Ride,876.0,0.0,48.4,55.6,72,76.2,81.0,16815.0,2623.0
24121492,Dernier coup de reins ST,Ride,526.2,3.7,35.0,38.7,44,50.8,53.0,11676.0,2391.0
